2026-04
transactions_101-004-39183559-001 9;;;;;;;;;;;;;;;;;;;;
TICKET;TRANSACTION DATE;TRANSACTION TYPE;DETAILS;INSTRUMENT;PRICE;UNITS;DIRECTION;SPREAD COST;STOP LOSS;GUARANTEED STOP LOSS;TAKE PROFIT;TRAILING STOP;FINANCING;COMMISSION;GSL FEE;GSL PREMIUM;CONVERSION RATE;PL;AMOUNT;BALANCE
2026-04-28 21:25:44 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4569.66000;34.00;Buy;8.9403;;;;;0.00000;0.0000;0.0000;;0.7333;210.99920;;102284.75;
2026-04-28 21:27:25 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;15.00;Sell;;;;;;;;;;;;;;
2026-04-28 21:27:25 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4569.92000;15.00;Sell;2.9994;;;;;0.00000;0.0000;0.0000;;;0.00000;;102284.75;
2026-04-28 22:16:24 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;17.00;Sell;;;;;;;;;;;;;;
2026-04-28 22:16:24 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4572.64000;17.00;Sell;2.5797;;;;;0.00000;0.0000;0.0000;;;0.00000;;102284.75;
2026-04-28 22:30:04 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;19.00;Sell;;;;;;;;;;;;;;
2026-04-28 22:30:04 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4574.65000;19.00;Sell;4.8532;;;;;0.00000;0.0000;0.0000;;;0.00000;;102284.75;
2026-04-28 22:43:22 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;51.00;Buy;;;;;;;;;;;;;;
2026-04-28 22:43:22 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4566.73000;51.00;Buy;10.7621;;;;;0.00000;0.0000;0.0000;;0.7330;219.02750;;102503.78;
2026-04-28 22:44:11 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;18.00;Sell;;;;;;;;;;;;;;
2026-04-28 22:44:11 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4567.21000;18.00;Sell;5.1308;;;;;0.00000;0.0000;0.0000;;;0.00000;;102503.78;
2026-04-28 22:50:58 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;19.00;Sell;;;;;;;;;;;;;;
2026-04-28 22:50:58 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4570.35000;19.00;Sell;4.9929;;;;;0.00000;0.0000;0.0000;;;0.00000;;102503.78;
2026-04-28 23:03:45 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;15.00;Sell;;;;;;;;;;;;;;
2026-04-28 23:03:45 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4571.18000;15.00;Sell;3.9412;;;;;0.00000;0.0000;0.0000;;;0.00000;;102503.78;
2026-04-28 23:47:13 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;52.00;Buy;;;;;;;;;;;;;;
2026-04-28 23:47:13 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4563.65000;52.00;Buy;4.2350;;;;;0.00000;0.0000;0.0000;;0.7330;223.06790;;102726.85;
2026-04-29 00:04:02 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;19.00;Sell;;;;;;;;;;;;;;
2026-04-29 00:04:02 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4562.45000;19.00;Sell;5.0639;;;;;0.00000;0.0000;0.0000;;;0.00000;;102726.85;
2026-04-29 00:05:23 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;20.00;Sell;;;;;;;;;;;;;;
2026-04-29 00:05:23 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4563.90000;20.00;Sell;5.2555;;;;;0.00000;0.0000;0.0000;;;0.00000;;102726.85;
2026-04-29 00:06:16 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;19.00;Sell;;;;;;;;;;;;;;
2026-04-29 00:06:16 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4565.41000;19.00;Sell;4.9924;;;;;0.00000;0.0000;0.0000;;;0.00000;;102726.85;
2026-04-29 00:30:46 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;58.00;Buy;;;;;;;;;;;;;;
2026-04-29 00:30:46 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4555.69000;58.00;Buy;13.5256;;;;;0.00000;0.0000;0.0000;;0.7329;349.83510;;103076.68;
2026-04-29 00:45:04 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;11.00;Sell;;;;;;;;;;;;;;
2026-04-29 00:45:04 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4556.68000;11.00;Sell;2.3621;;;;;0.00000;0.0000;0.0000;;;0.00000;;103076.68;
2026-04-29 00:47:06 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;11.00;Sell;;;;;;;;;;;;;;
2026-04-29 00:47:06 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4558.94000;11.00;Sell;2.5656;;;;;0.00000;0.0000;0.0000;;;0.00000;;103076.68;
2026-04-29 00:55:38 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;22.00;Buy;;;;;;;;;;;;;;
2026-04-29 00:55:38 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4543.71000;22.00;Buy;5.7032;;;;;0.00000;0.0000;0.0000;;0.7333;227.45640;;103304.14;
2026-04-29 01:14:01 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;11.00;Sell;;;;;;;;;;;;;;
2026-04-29 01:14:01 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4549.67000;11.00;Sell;1.8325;;;;;0.00000;0.0000;0.0000;;;0.00000;;103304.14;
